01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1996,Espanha,Comunicações,,,,,134.18
1996,Espanha,Educação,,,,,49.51
1996,Espanha,"Habitação, água, electricidade, gás e outros combustíveis",,,,,54.47
1996,Espanha,"Lazer, recreação e cultura",,,,,88.29
1996,Espanha,Produtos alimentares e bebidas não alcoólicas,,,,,64.45
1996,Espanha,Restaurantes e hotéis,,,,,56.59
1996,Espanha,Saúde,,,,,77.89
1996,Espanha,Total,,,,,64.93
1996,Espanha,Transportes,,,,,61.69
1996,Espanha,Vestuário e calçado,,,,,77.58
1996,Estónia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,70.97
1996,Estónia,Bebidas alcoólicas e tabaco,,,,,36.48
1996,Estónia,Bens e serviços diversos,,,,,41.22
1996,Estónia,Comunicações,,,,,79.24
1996,Estónia,Educação,,,,,46.74
1996,Estónia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,27.30
1996,Estónia,"Lazer, recreação e cultura",,,,,60.54
1996,Estónia,Produtos alimentares e bebidas não alcoólicas,,,,,51.24
1996,Estónia,Restaurantes e hotéis,,,,,34.89
1996,Estónia,Saúde,,,,,35.29
1996,Estónia,Total,,,,,45.70
1996,Estónia,Transportes,,,,,46.09
1996,Estónia,Vestuário e calçado,,,,,45.65
1996,Finlândia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,81.31
1996,Finlândia,Bebidas alcoólicas e tabaco,,,,,71.14
1996,Finlândia,Bens e serviços diversos,,,,,61.30
1996,Finlândia,Comunicações,,,,,158.94
1996,Finlândia,Educação,,,,,52.22
1996,Finlândia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,54.60
1996,Finlândia,"Lazer, recreação e cultura",,,,,85.52
1996,Finlândia,Produtos alimentares e bebidas não alcoólicas,,,,,68.67
1996,Finlândia,Restaurantes e hotéis,,,,,59.96
1996,Finlândia,Saúde,,,,,67.74
1996,Finlândia,Total,,,,,71.77
1996,Finlândia,Transportes,,,,,77.14
1996,Finlândia,Vestuário e calçado,,,,,97.43
1996,França,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,82.93
1996,França,Bebidas alcoólicas e tabaco,,,,,48.47
1996,França,Bens e serviços diversos,,,,,70.44
1996,França,Comunicações,,,,,159.59
1996,França,Educação,,,,,62.48
1996,França,"Habitação, água, electricidade, gás e outros combustíveis",,,,,64.36
1996,França,"Lazer, recreação e cultura",,,,,109.97
1996,França,Produtos alimentares e bebidas não alcoólicas,,,,,73.30
1996,França,Restaurantes e hotéis,,,,,65.07
1996,França,Saúde,,,,,75.34
1996,França,Total,,,,,74.93
1996,França,Transportes,,,,,69.87
1996,França,Vestuário e calçado,,,,,92.76
1996,Grécia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,76.79
1996,Grécia,Bebidas alcoólicas e tabaco,,,,,38.15
1996,Grécia,Bens e serviços diversos,,,,,66.86
1996,Grécia,Comunicações,,,,,146.03
1996,Grécia,Educação,,,,,62.80
1996,Grécia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,49.35
1996,Grécia,"Lazer, recreação e cultura",,,,,76.34
1996,Grécia,Produtos alimentares e bebidas não alcoólicas,,,,,62.31
1996,Grécia,Restaurantes e hotéis,,,,,51.63
1996,Grécia,Saúde,,,,,85.09
1996,Grécia,Total,,,,,61.31
1996,Grécia,Transportes,,,,,59.74
1996,Grécia,Vestuário e calçado,,,,,65.70
1996,Hungria,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,d,57.82
1996,Hungria,Bebidas alcoólicas e tabaco,,,,d,19.62
1996,Hungria,Bens e serviços diversos,,,,d,32.60
1996,Hungria,Comunicações,,,,d,46.80
1996,Hungria,Educação,,,,d,27.03
1996,Hungria,"Habitação, água, electricidade, gás e outros combustíveis",,,,d,23.68
1996,Hungria,"Lazer, recreação e cultura",,,,d,43.80
1996,Hungria,Produtos alimentares e bebidas não alcoólicas,,,,d,31.66
1996,Hungria,Restaurantes e hotéis,,,,d,24.60
1996,Hungria,Saúde,,,,d,17.53
1996,Hungria,Total,,,,d,31.76
1996,Hungria,Transportes,,,,d,35.68
1996,Hungria,Vestuário e calçado,,,,d,50.84
1996,Irlanda,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,115.20
1996,Irlanda,Bebidas alcoólicas e tabaco,,,,,49.50
1996,Irlanda,Bens e serviços diversos,,,,,57.00
1996,Irlanda,Comunicações,,,,,125.10
1996,Irlanda,Educação,,,,,34.10
1996,Irlanda,"Habitação, água, electricidade, gás e outros combustíveis",,,,,49.60
1996,Irlanda,"Lazer, recreação e cultura",,,,,77.70
1996,Irlanda,Produtos alimentares e bebidas não alcoólicas,,,,,80.00
1996,Irlanda,Restaurantes e hotéis,,,,,57.20
1996,Irlanda,Saúde,,,,,47.10
1996,Irlanda,Total,,,,,69.10
1996,Irlanda,Transportes,,,,,72.10
1996,Irlanda,Vestuário e calçado,,,,,237.50
1996,Itália,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,72.40
1996,Itália,Bebidas alcoólicas e tabaco,,,,,50.30
1996,Itália,Bens e serviços diversos,,,,,63.70
1996,Itália,Comunicações,,,,,173.10
1996,Itália,Educação,,,,,64.20
1996,Itália,"Habitação, água, electricidade, gás e outros combustíveis",,,,,57.10
1996,Itália,"Lazer, recreação e cultura",,,,,82.10
1996,Itália,Produtos alimentares e bebidas não alcoólicas,,,,,70.00
1996,Itália,Restaurantes e hotéis,,,,,63.10
1996,Itália,Saúde,,,,,59.10
1996,Itália,Total,,,,,68.50
1996,Itália,Transportes,,,,,63.20
