01. Ano,02. Nome País (Europa),03. Filtro 1,04. Filtro 2,05. Filtro 3,06. Escala,07. Símbolo,08. Valor
1996,Espanha,"Habitação, água, electricidade, gás e outros combustíveis",,,,,3.9
1996,Espanha,"Lazer, recreação e cultura",,,,,3.0
1996,Espanha,Produtos alimentares e bebidas não alcoólicas,,,,,3.4
1996,Espanha,Restaurantes e hotéis,,,,,3.6
1996,Espanha,Saúde,,,,,3.0
1996,Espanha,Total,,,,,3.6
1996,Espanha,Transportes,,,,,4.2
1996,Espanha,Vestuário e calçado,,,,,2.7
1996,Estónia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,11.3
1996,Estónia,Bebidas alcoólicas e tabaco,,,,,41.0
1996,Estónia,Bens e serviços diversos,,,,,22.4
1996,Estónia,Comunicações,,,,,21.3
1996,Estónia,Educação,,,,,41.6
1996,Estónia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,24.0
1996,Estónia,"Lazer, recreação e cultura",,,,,11.5
1996,Estónia,Produtos alimentares e bebidas não alcoólicas,,,,,17.4
1996,Estónia,Restaurantes e hotéis,,,,,23.6
1996,Estónia,Saúde,,,,,30.1
1996,Estónia,Total,,,,,19.8
1996,Estónia,Transportes,,,,,18.9
1996,Estónia,Vestuário e calçado,,,,,14.4
1996,Finlândia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,0.7
1996,Finlândia,Bebidas alcoólicas e tabaco,,,,,2.5
1996,Finlândia,Bens e serviços diversos,,,,,0.0
1996,Finlândia,Comunicações,,,,,-3.4
1996,Finlândia,Educação,,,,,0.9
1996,Finlândia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,3.8
1996,Finlândia,"Lazer, recreação e cultura",,,,,0.1
1996,Finlândia,Produtos alimentares e bebidas não alcoólicas,,,,,-1.8
1996,Finlândia,Restaurantes e hotéis,,,,,1.2
1996,Finlândia,Saúde,,,,,2.2
1996,Finlândia,Total,,,,,1.1
1996,Finlândia,Transportes,,,,,3.1
1996,Finlândia,Vestuário e calçado,,,,,0.6
1996,França,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,-7.6
1996,França,Bebidas alcoólicas e tabaco,,,,,-23.0
1996,França,Bens e serviços diversos,,,,,-9.9
1996,França,Comunicações,,,,,-2.2
1996,França,Educação,,,,,-15.0
1996,França,"Habitação, água, electricidade, gás e outros combustíveis",,,,,-12.7
1996,França,"Lazer, recreação e cultura",,,,,-7.0
1996,França,Produtos alimentares e bebidas não alcoólicas,,,,,-4.4
1996,França,Restaurantes e hotéis,,,,,-15.4
1996,França,Saúde,,,,,-13.5
1996,França,Total,,,,,2.1
1996,França,Transportes,,,,,-11.7
1996,França,Vestuário e calçado,,,,,-6.2
1996,Grécia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,6.4
1996,Grécia,Bebidas alcoólicas e tabaco,,,,,9.9
1996,Grécia,Bens e serviços diversos,,,,,11.9
1996,Grécia,Comunicações,,,,,10.2
1996,Grécia,Educação,,,,,9.2
1996,Grécia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,8.8
1996,Grécia,"Lazer, recreação e cultura",,,,,6.4
1996,Grécia,Produtos alimentares e bebidas não alcoólicas,,,,,6.8
1996,Grécia,Restaurantes e hotéis,,,,,9.9
1996,Grécia,Saúde,,,,,1.2
1996,Grécia,Total,,,,,7.9
1996,Grécia,Transportes,,,,,5.4
1996,Grécia,Vestuário e calçado,,,,,9.3
1996,Hungria,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,d,22.9
1996,Hungria,Bebidas alcoólicas e tabaco,,,,d,27.0
1996,Hungria,Bens e serviços diversos,,,,d,26.5
1996,Hungria,Comunicações,,,,d,28.1
1996,Hungria,Educação,,,,d,23.3
1996,Hungria,"Habitação, água, electricidade, gás e outros combustíveis",,,,d,30.4
1996,Hungria,"Lazer, recreação e cultura",,,,d,21.9
1996,Hungria,Produtos alimentares e bebidas não alcoólicas,,,,d,16.7
1996,Hungria,Restaurantes e hotéis,,,,d,23.5
1996,Hungria,Saúde,,,,d,39.1
1996,Hungria,Total,,,,d,23.5
1996,Hungria,Transportes,,,,d,23.5
1996,Hungria,Vestuário e calçado,,,,d,25.4
1996,Irlanda,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,2.0
1996,Irlanda,Bebidas alcoólicas e tabaco,,,,,4.0
1996,Irlanda,Bens e serviços diversos,,,,,4.7
1996,Irlanda,Comunicações,,,,,-3.7
1996,Irlanda,Educação,,,,,3.9
1996,Irlanda,"Habitação, água, electricidade, gás e outros combustíveis",,,,,2.4
1996,Irlanda,"Lazer, recreação e cultura",,,,,2.5
1996,Irlanda,Produtos alimentares e bebidas não alcoólicas,,,,,1.7
1996,Irlanda,Restaurantes e hotéis,,,,,3.0
1996,Irlanda,Saúde,,,,,2.2
1996,Irlanda,Total,,,,,2.2
1996,Irlanda,Transportes,,,,,3.0
1996,Irlanda,Vestuário e calçado,,,,,5.3
1996,Itália,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,3.9
1996,Itália,Bebidas alcoólicas e tabaco,,,,,6.9
1996,Itália,Bens e serviços diversos,,,,,4.4
1996,Itália,Comunicações,,,,,0.7
1996,Itália,Educação,,,,,2.2
1996,Itália,"Habitação, água, electricidade, gás e outros combustíveis",,,,,3.8
1996,Itália,"Lazer, recreação e cultura",,,,,3.1
1996,Itália,Produtos alimentares e bebidas não alcoólicas,,,,,3.9
1996,Itália,Restaurantes e hotéis,,,,,3.8
1996,Itália,Saúde,,,,,6.2
1996,Itália,Total,,,,,4.0
1996,Itália,Transportes,,,,,4.2
1996,Itália,Vestuário e calçado,,,,,3.8
1996,Letónia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,x,
1996,Letónia,Bebidas alcoólicas e tabaco,,,,x,
1996,Letónia,Bens e serviços diversos,,,,x,
1996,Letónia,Comunicações,,,,x,
1996,Letónia,Educação,,,,x,
1996,Letónia,"Habitação, água, electricidade, gás e outros combustíveis",,,,x,
1996,Letónia,"Lazer, recreação e cultura",,,,x,
1996,Letónia,Produtos alimentares e bebidas não alcoólicas,,,,x,
1996,Letónia,Restaurantes e hotéis,,,,x,
1996,Letónia,Saúde,,,,x,
1996,Letónia,Total,,,,x,
1996,Letónia,Transportes,,,,x,
1996,Letónia,Vestuário e calçado,,,,x,
1996,Lituânia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,d,15.8
1996,Lituânia,Bebidas alcoólicas e tabaco,,,,d,19.1
1996,Lituânia,Bens e serviços diversos,,,,d,23.2
1996,Lituânia,Comunicações,,,,d,33.2
1996,Lituânia,Educação,,,,d,30.4
1996,Lituânia,"Habitação, água, electricidade, gás e outros combustíveis",,,,d,26.8
1996,Lituânia,"Lazer, recreação e cultura",,,,d,16.5
1996,Lituânia,Produtos alimentares e bebidas não alcoólicas,,,,d,27.7
1996,Lituânia,Restaurantes e hotéis,,,,d,11.6
1996,Lituânia,Saúde,,,,d,9.6
1996,Lituânia,Total,,,,d,24.7
1996,Lituânia,Transportes,,,,d,18.7
1996,Lituânia,Vestuário e calçado,,,,d,20.0
1996,Luxemburgo,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,1.0
1996,Luxemburgo,Bebidas alcoólicas e tabaco,,,,,2.3
1996,Luxemburgo,Bens e serviços diversos,,,,,1.1
1996,Luxemburgo,Comunicações,,,,,2.2
1996,Luxemburgo,Educação,,,,,2.1
1996,Luxemburgo,"Habitação, água, electricidade, gás e outros combustíveis",,,,,3.7
1996,Luxemburgo,"Lazer, recreação e cultura",,,,,-0.1
1996,Luxemburgo,Produtos alimentares e bebidas não alcoólicas,,,,,0.8
1996,Luxemburgo,Restaurantes e hotéis,,,,,1.0
1996,Luxemburgo,Saúde,,,,,0.9
1996,Luxemburgo,Total,,,,,1.2
1996,Luxemburgo,Transportes,,,,,1.4
1996,Luxemburgo,Vestuário e calçado,,,,,0.0
1996,Malta,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,x,
1996,Malta,Bebidas alcoólicas e tabaco,,,,x,
1996,Malta,Bens e serviços diversos,,,,x,
1996,Malta,Comunicações,,,,x,
1996,Malta,Educação,,,,x,
1996,Malta,"Habitação, água, electricidade, gás e outros combustíveis",,,,x,
1996,Malta,"Lazer, recreação e cultura",,,,x,
1996,Malta,Produtos alimentares e bebidas não alcoólicas,,,,x,
1996,Malta,Restaurantes e hotéis,,,,x,
1996,Malta,Saúde,,,,x,
1996,Malta,Total,,,,x,
1996,Malta,Transportes,,,,x,
1996,Malta,Vestuário e calçado,,,,x,
1996,Países Baixos,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,0.2
1996,Países Baixos,Bebidas alcoólicas e tabaco,,,,,1.5
1996,Países Baixos,Bens e serviços diversos,,,,,1.0
1996,Países Baixos,Comunicações,,,,,8.1
1996,Países Baixos,Educação,,,,,2.1
1996,Países Baixos,"Habitação, água, electricidade, gás e outros combustíveis",,,,,4.8
1996,Países Baixos,"Lazer, recreação e cultura",,,,,0.4
1996,Países Baixos,Produtos alimentares e bebidas não alcoólicas,,,,,-0.2
1996,Países Baixos,Restaurantes e hotéis,,,,,2.0
1996,Países Baixos,Saúde,,,,,0.5
1996,Países Baixos,Total,,,,x,
1996,Países Baixos,Transportes,,,,,0.6
1996,Países Baixos,Vestuário e calçado,,,,,0.5
1996,Polónia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,x,
1996,Polónia,Bebidas alcoólicas e tabaco,,,,x,
1996,Polónia,Bens e serviços diversos,,,,x,
1996,Polónia,Comunicações,,,,x,
1996,Polónia,Educação,,,,x,
1996,Polónia,"Habitação, água, electricidade, gás e outros combustíveis",,,,x,
1996,Polónia,"Lazer, recreação e cultura",,,,x,
1996,Polónia,Produtos alimentares e bebidas não alcoólicas,,,,x,
1996,Polónia,Restaurantes e hotéis,,,,x,
1996,Polónia,Saúde,,,,x,
1996,Polónia,Total,,,,x,
1996,Polónia,Transportes,,,,x,
1996,Polónia,Vestuário e calçado,,,,x,
1996,Portugal,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,3.3
1996,Portugal,Bebidas alcoólicas e tabaco,,,,,4.2
1996,Portugal,Bens e serviços diversos,,,,,4.7
1996,Portugal,Comunicações,,,,,5.2
1996,Portugal,Educação,,,,,5.5
1996,Portugal,"Habitação, água, electricidade, gás e outros combustíveis",,,,,0.9
1996,Portugal,"Lazer, recreação e cultura",,,,,3.7
1996,Portugal,Produtos alimentares e bebidas não alcoólicas,,,,,2.0
1996,Portugal,Restaurantes e hotéis,,,,,3.4
1996,Portugal,Saúde,,,,,6.5
1996,Portugal,Total,,,,,2.9
1996,Portugal,Transportes,,,,,4.3
1996,Portugal,Vestuário e calçado,,,,,1.8
1996,Roménia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,37.8
1996,Roménia,Bebidas alcoólicas e tabaco,,,,,65.5
1996,Roménia,Bens e serviços diversos,,,,d,35.0
1996,Roménia,Comunicações,,,,d,51.2
1996,Roménia,Educação,,,,,37.4
1996,Roménia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,38.5
1996,Roménia,"Lazer, recreação e cultura",,,,d,41.1
1996,Roménia,Produtos alimentares e bebidas não alcoólicas,,,,,36.7
1996,Roménia,Restaurantes e hotéis,,,,,43.4
1996,Roménia,Saúde,,,,d,36.4
1996,Roménia,Total,,,,d,38.8
1996,Roménia,Transportes,,,,,50.8
1996,Roménia,Vestuário e calçado,,,,,32.0
1996,Suécia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,3.5
1996,Suécia,Bebidas alcoólicas e tabaco,,,,,3.2
1996,Suécia,Bens e serviços diversos,,,,,1.9
1996,Suécia,Comunicações,,,,,2.5
1996,Suécia,Educação,,,,,-3.9
1996,Suécia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,4.9
1996,Suécia,"Lazer, recreação e cultura",,,,,1.2
1996,Suécia,Produtos alimentares e bebidas não alcoólicas,,,,,-5.8
1996,Suécia,Restaurantes e hotéis,,,,,2.6
1996,Suécia,Saúde,,,,,2.1
1996,Suécia,Total,,,,,1.0
1996,Suécia,Transportes,,,,,1.8
1996,Suécia,Vestuário e calçado,,,,,-0.3
1997,Alemanha,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,0.3
1997,Alemanha,Bebidas alcoólicas e tabaco,,,,,2.0
1997,Alemanha,Bens e serviços diversos,,,,,1.4
1997,Alemanha,Comunicações,,,,,-3.0
1997,Alemanha,Educação,,,,,3.1
1997,Alemanha,"Habitação, água, electricidade, gás e outros combustíveis",,,,,2.8
1997,Alemanha,"Lazer, recreação e cultura",,,,,2.1
1997,Alemanha,Produtos alimentares e bebidas não alcoólicas,,,,,1.4
1997,Alemanha,Restaurantes e hotéis,,,,,1.0
1997,Alemanha,Saúde,,,,,1.1
1997,Alemanha,Total,,,,,1.5
1997,Alemanha,Transportes,,,,,1.6
1997,Alemanha,Vestuário e calçado,,,,,0.4
1997,Áustria,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,0.0
1997,Áustria,Bebidas alcoólicas e tabaco,,,,,1.7
1997,Áustria,Bens e serviços diversos,,,,,0.8
1997,Áustria,Comunicações,,,,,0.4
1997,Áustria,Educação,,,,,5.0
1997,Áustria,"Habitação, água, electricidade, gás e outros combustíveis",,,,,3.3
1997,Áustria,"Lazer, recreação e cultura",,,,,-0.3
1997,Áustria,Produtos alimentares e bebidas não alcoólicas,,,,,1.4
1997,Áustria,Restaurantes e hotéis,,,,,2.1
1997,Áustria,Saúde,,,,,-2.0
1997,Áustria,Total,,,,,1.2
1997,Áustria,Transportes,,,,,1.2
1997,Áustria,Vestuário e calçado,,,,,-0.9
1997,Bélgica,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,0.6
1997,Bélgica,Bebidas alcoólicas e tabaco,,,,,3.8
1997,Bélgica,Bens e serviços diversos,,,,,0.5
1997,Bélgica,Comunicações,,,,,4.6
1997,Bélgica,Educação,,,,x,
1997,Bélgica,"Habitação, água, electricidade, gás e outros combustíveis",,,,,1.4
1997,Bélgica,"Lazer, recreação e cultura",,,,,0.4
1997,Bélgica,Produtos alimentares e bebidas não alcoólicas,,,,,2.2
1997,Bélgica,Restaurantes e hotéis,,,,,1.7
1997,Bélgica,Saúde,,,,,0.7
1997,Bélgica,Total,,,,,1.5
1997,Bélgica,Transportes,,,,,2.1
1997,Bélgica,Vestuário e calçado,,,,,0.6
1997,Bulgária,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,x,
1997,Bulgária,Bebidas alcoólicas e tabaco,,,,x,
1997,Bulgária,Bens e serviços diversos,,,,x,
1997,Bulgária,Comunicações,,,,x,
1997,Bulgária,Educação,,,,x,
1997,Bulgária,"Habitação, água, electricidade, gás e outros combustíveis",,,,x,
1997,Bulgária,"Lazer, recreação e cultura",,,,x,
1997,Bulgária,Produtos alimentares e bebidas não alcoólicas,,,,x,
1997,Bulgária,Restaurantes e hotéis,,,,x,
1997,Bulgária,Saúde,,,,x,
1997,Bulgária,Total,,,,x,
1997,Bulgária,Transportes,,,,x,
1997,Bulgária,Vestuário e calçado,,,,x,
1997,Chéquia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,5.1
1997,Chéquia,Bebidas alcoólicas e tabaco,,,,,6.6
1997,Chéquia,Bens e serviços diversos,,,,,8.7
1997,Chéquia,Comunicações,,,,,14.3
1997,Chéquia,Educação,,,,,15.7
1997,Chéquia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,20.0
1997,Chéquia,"Lazer, recreação e cultura",,,,,6.0
1997,Chéquia,Produtos alimentares e bebidas não alcoólicas,,,,,4.5
1997,Chéquia,Restaurantes e hotéis,,,,,6.7
1997,Chéquia,Saúde,,,,,12.2
1997,Chéquia,Total,,,,,8.0
1997,Chéquia,Transportes,,,,,7.1
1997,Chéquia,Vestuário e calçado,,,,,8.8
1997,Chipre,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,2.5
1997,Chipre,Bebidas alcoólicas e tabaco,,,,,2.6
1997,Chipre,Bens e serviços diversos,,,,,2.8
1997,Chipre,Comunicações,,,,,0.9
1997,Chipre,Educação,,,,,4.8
1997,Chipre,"Habitação, água, electricidade, gás e outros combustíveis",,,,,7.1
1997,Chipre,"Lazer, recreação e cultura",,,,,1.9
1997,Chipre,Produtos alimentares e bebidas não alcoólicas,,,,,6.0
1997,Chipre,Restaurantes e hotéis,,,,,3.3
1997,Chipre,Saúde,,,,,4.5
1997,Chipre,Total,,,,,3.3
1997,Chipre,Transportes,,,,,0.6
1997,Chipre,Vestuário e calçado,,,,,2.9
1997,Croácia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,x,
1997,Croácia,Bebidas alcoólicas e tabaco,,,,x,
1997,Croácia,Bens e serviços diversos,,,,x,
1997,Croácia,Comunicações,,,,x,
1997,Croácia,Educação,,,,x,
1997,Croácia,"Habitação, água, electricidade, gás e outros combustíveis",,,,x,
1997,Croácia,"Lazer, recreação e cultura",,,,x,
1997,Croácia,Produtos alimentares e bebidas não alcoólicas,,,,x,
1997,Croácia,Restaurantes e hotéis,,,,x,
1997,Croácia,Saúde,,,,x,
1997,Croácia,Total,,,,x,
1997,Croácia,Transportes,,,,x,
1997,Croácia,Vestuário e calçado,,,,x,
1997,Dinamarca,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,1.0
1997,Dinamarca,Bebidas alcoólicas e tabaco,,,,,1.6
1997,Dinamarca,Bens e serviços diversos,,,,,2.4
1997,Dinamarca,Comunicações,,,,,0.0
1997,Dinamarca,Educação,,,,,1.3
1997,Dinamarca,"Habitação, água, electricidade, gás e outros combustíveis",,,,,3.0
1997,Dinamarca,"Lazer, recreação e cultura",,,,,0.3
1997,Dinamarca,Produtos alimentares e bebidas não alcoólicas,,,,,3.3
1997,Dinamarca,Restaurantes e hotéis,,,,,2.4
1997,Dinamarca,Saúde,,,,,0.1
1997,Dinamarca,Total,,,,,1.9
1997,Dinamarca,Transportes,,,,,2.2
1997,Dinamarca,Vestuário e calçado,,,,,-2.1
1997,Eslováquia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,4.7
1997,Eslováquia,Bebidas alcoólicas e tabaco,,,,,3.9
1997,Eslováquia,Bens e serviços diversos,,,,,5.6
1997,Eslováquia,Comunicações,,,,,3.0
1997,Eslováquia,Educação,,,,,3.0
1997,Eslováquia,"Habitação, água, electricidade, gás e outros combustíveis",,,,,6.6
1997,Eslováquia,"Lazer, recreação e cultura",,,,,6.3
1997,Eslováquia,Produtos alimentares e bebidas não alcoólicas,,,,,5.7
1997,Eslováquia,Restaurantes e hotéis,,,,,6.3
1997,Eslováquia,Saúde,,,,,12.7
1997,Eslováquia,Total,,,,,6.0
1997,Eslováquia,Transportes,,,,,5.8
1997,Eslováquia,Vestuário e calçado,,,,,7.6
1997,Eslovénia,"Acessórios para o lar, equipamento doméstico e manutenção corrente da habitação",,,,,4.6
1997,Eslovénia,Bebidas alcoólicas e tabaco,,,,,10.8
1997,Eslovénia,Bens e serviços diversos,,,,,7.7
1997,Eslovénia,Comunicações,,,,,11.7
